Species,Family,N_Belize,N_Panama,Body_Mass,Ln Mass,Habitat,Stratum,Diet,Shared Haplotypes,DA
Amazilia tzacatl,Trochilidae,10,11,4.96,1.601405741,Open_Edge,Canopy,Nectar,,0.0033
Attila spadiceus,Tyrannidae,3,3,40.97,3.712840092,Forest,Canopy,Mixed,,0.0099
Ceratopipra mentalis,Pipridae,12,11,15.64,2.749831735,Forest,Understory,Fruit,,0.0015
Cercomacra tyrannina,Thamnophilidae,10,10,17.17,2.843163675,Open_Edge,Understory,Insect,,0.021
Chlorophanes spiza,Thraupidae,2,2,19.83,2.987195943,Forest,Canopy,Fruit,,0.0019
Claravis pretiosa ,Columbidae,2,1,64.37,4.164647686,Open_Edge,Understory,Fruit,Yes,0
Coereba flaveola,Thraupidae,10,10,9.34,2.234306252,Open_Edge,Canopy,Nectar,,0.0039
Columbina talpacoti,Columbidae,3,8,47.37,3.857989117,Open_Edge,Understory,Fruit,Yes,0
Cyanerpes cyaneus,Thraupidae,8,9,13.96,2.636196097,Forest,Canopy,Nectar,Yes,0.0002
Dendrocincla homochroa,Furnariidae,3,3,36.71,3.603049198,Forest,Understory,Insect,,0.0135
Dendrocolaptes sanctithomae,Furnariidae,2,1,67.13,4.206631038,Forest,Understory,Insect,,0.0019
Eucometis penicillata,Thraupidae,10,10,28.47,3.348850901,Forest,Understory,Mixed,,0.0163
Florisuga mellivora,Trochilidae,3,3,7.16,1.968509981,Forest,Canopy,Nectar,,0
Geotrygon montana,Columbidae,1,5,138.25,4.92906364,Forest,Understory,Fruit,Yes,0
Glyphorynchus spirurus,Furnariidae,10,11,15.01,2.708716646,Forest,Understory,Insect,,0.0107
Gymnocichla nudiceps,Thamnophilidae,3,2,31.43,3.447762851,Open_Edge,Understory,Insect,,0.0423
Habia fuscicauda,Cardinalidae,10,11,36.52,3.597860056,Open_Edge,Understory,Mixed,,0.0329
Henicorhina leucosticta,Troglodytidae,10,11,15.39,2.733717948,Forest,Understory,Insect,,0.0214
Hylophilus decurtatus,Vireonidae,3,3,8.66,2.158714723,Forest,Canopy,Insect,,0.0239
Leptotila cassinii,Columbidae,10,9,153.75,5.035327907,Open_Edge,Understory,Fruit,,0.0037
Leptotila verreauxi,Columbidae,1,5,159.45,5.071730393,Open_Edge,Understory,Fruit,,0.0271
Megarynchus pitangua,Tyrannidae,1,2,66.7,4.200204953,Open_Edge,Canopy,Insect,Yes,0
Melanerpes pucherani,Picidae,1,4,57.02,4.043402083,Forest,Canopy,Insect,,0.0115
Microrhopias quixensis,Thamnophilidae,2,9,8.58,2.149433913,Forest,Understory,Insect,,0.0057
Myiarchus tuberculifer,Tyrannidae,3,2,17.63,2.869601996,Forest,Canopy,Mixed,,0.0019
